Date,xiv,vxx,ratio,ma_60,ma_150
2015-11-06,32.279999,72.160004,0.912179822269,,
2015-11-09,30.540001,76.120003,0.943443443443,,
2015-11-10,31.32,73.959999,0.915650406504,0.984398002953,
2015-11-11,30.65,75.599998,0.935124176381,0.984706443669,
2015-11-12,27.940001,82.239998,0.960476190476,0.985053787922,
2015-11-13,26.049999,87.839996,0.967713004484,0.984751273424,
2015-11-16,28.709999,79.0,0.949168646081,0.983053210927,
2015-11-17,27.08,83.32,0.972394098049,0.980290480983,
2015-11-18,28.99,77.800003,0.95290034705,0.977838200291,
2015-11-19,28.030001,80.440002,0.951089588378,0.976147633521,
2015-11-20,28.940001,77.720001,0.911892152143,0.973624136598,
2015-11-23,29.73,75.599998,0.926404773744,0.971466993939,
2015-11-24,29.52,76.120003,0.921674876847,0.969454306064,
2015-11-25,29.959999,74.959999,0.912694430507,0.966697034829,
2015-11-27,29.629999,75.639999,0.889287544849,0.964272346142,
2015-11-30,29.85,75.199997,0.919443063153,0.962431826964,
2015-12-01,31.15,71.919998,0.8883274381,0.959415062043,
2015-12-02,29.889999,74.720001,0.917876815223,0.957600032678,
2015-12-03,27.67,80.080002,0.945018796992,0.956510868234,
2015-12-04,30.34,72.879997,0.924681933842,0.954621545818,
2015-12-07,29.57,74.599998,0.934837092732,0.95366282614,
2015-12-08,28.65,76.919998,0.964423076923,0.95346130717,
2015-12-09,27.469999,79.959999,0.976345083488,0.952862738655,
2015-12-10,27.120001,81.120003,0.954921803128,0.951524200016,
2015-12-11,23.110001,93.279999,0.991459943066,0.951615074689,
2015-12-14,24.52,86.68,0.995726495726,0.951325509007,
2015-12-15,25.57,83.040001,0.973719376392,0.951085820505,
2015-12-16,27.280001,77.360001,0.944042450555,0.950052359187,
2015-12-17,26.209999,80.639999,0.948765719609,0.949132636172,
2015-12-18,24.1,87.080002,0.944469124833,0.948020339977,
2015-12-21,25.17,83.040001,0.965249199817,0.946839603003,
2015-12-22,26.389999,78.959999,0.945662535748,0.94524309822,
2015-12-23,26.99,77.080002,0.937894226104,0.943513557544,
2015-12-24,26.530001,78.480003,0.948915662651,0.942205530917,
2015-12-28,26.799999,77.559998,0.953026634383,0.941260212111,
2015-12-29,27.23,76.279999,0.944142362827,0.940654631101,
2015-12-30,26.41,78.480003,0.961236506379,0.94050880025,
2015-12-31,25.799999,80.400002,0.961631860126,0.940224423425,
2016-01-04,24.15,85.360001,0.994577496611,0.940678965074,
2016-01-05,24.950001,82.68,0.967468175389,0.940919500445,
2016-01-06,24.209999,85.160004,0.960704607046,0.940808761765,
2016-01-07,21.639999,94.400002,1.0173553719,0.941794535376,
2016-01-08,20.450001,99.32,1.02903099255,0.942752318901,
2016-01-11,21.0,96.080002,1.0081532817,0.943302140075,
2016-01-12,21.98,91.639999,0.962820512821,0.943043341304,
2016-01-13,19.790001,100.800003,1.0028203062,0.944151864295,
2016-01-14,20.5,97.160004,0.976753839768,0.945087452346,
2016-01-15,18.440001,106.800003,1.02634593356,0.946607496437,
2016-01-19,18.42,106.839996,1.03120124805,0.948246085471,
2016-01-20,17.959999,109.639999,1.03768656716,0.950567039601,
2016-01-21,18.02,109.160004,1.00640542577,0.952174751061,
2016-01-22,19.540001,100.0,0.987794955248,0.953464248628,
2016-01-25,18.549999,104.959999,0.992141453831,0.954637473401,
2016-01-26,19.4,99.959999,0.956861133936,0.955426552622,
2016-01-27,18.629999,104.080002,0.976846307385,0.956508485019,
2016-01-28,19.25,100.599998,0.976026005689,0.957318595867,
2016-01-29,20.02,96.480003,0.992988606486,0.958731110181,
2016-02-01,20.23,95.360001,0.981712756467,0.959920156382,
2016-02-02,18.879999,101.599998,0.987347110924,0.960853730645,
2016-02-03,19.09,100.480003,0.981387478849,0.961972337839,
2016-02-04,18.91,101.440002,0.978494623656,0.963077584529,
2016-02-05,18.16,105.440002,0.978026368358,0.963653966611,
2016-02-08,17.299999,110.480003,0.988208444275,0.96486326724,
2016-02-09,17.15,111.519997,1.00562851782,0.966038339598,
2016-02-10,17.01,112.279999,1.00262664165,0.966740847117,
2016-02-11,15.98,119.120003,0.995332136445,0.967201165983,
2016-02-12,16.68,114.239998,0.972922848665,0.96759706936,
2016-02-16,17.459999,109.0,0.963034270312,0.967441072231,
2016-02-17,18.110001,104.720001,0.950746871215,0.967405180967,
2016-02-18,18.190001,104.32,0.948487326247,0.967361809931,
2016-02-19,18.65,101.68,0.94566569888,0.967924702377,
2016-02-22,19.690001,95.879997,0.929892473118,0.9679828307,
2016-02-23,18.700001,100.720001,0.934610578925,0.968198425735,
2016-02-24,18.77,100.080002,0.945808636749,0.968750329172,
2016-02-25,19.440001,96.639999,0.929947460595,0.969427994434,
2016-02-26,19.209999,98.0,0.945910861099,0.9698691244,
2016-02-29,18.84,99.519997,0.949936359779,0.970895939761,
2016-03-01,20.549999,90.879997,0.922237380628,0.970968615851,
2016-03-02,20.85,89.279999,0.926511627907,0.970660163033,
2016-03-03,21.52,86.360001,0.923259118901,0.970636449451,
2016-03-04,21.26,87.440002,0.927255550307,0.970510090411,
2016-03-07,21.18,87.559998,0.923862581244,0.969834082149,
2016-03-08,20.35,90.919998,0.93719376392,0.969181560157,
2016-03-09,20.620001,89.720001,0.935949481281,0.968865354792,
2016-03-10,20.98,88.080002,0.937952898551,0.967973570717,
2016-03-11,22.09,83.599998,0.914084507042,0.966612870906,
2016-03-14,22.43,82.32,0.922127255461,0.965753002224,
2016-03-15,22.09,83.480003,0.92443806791,0.965426262513,
2016-03-16,22.9,80.360001,0.915304606241,0.96486857729,
2016-03-17,23.639999,77.959999,0.914775592537,0.964373685085,
2016-03-18,23.709999,77.400002,0.906471183013,0.963394051472,
2016-03-21,24.440001,75.199997,0.9025141098,0.962674911039,
2016-03-22,24.75,74.199997,0.90607452782,0.962144582734,0.967441594304
2016-03-23,23.59,77.639999,0.909090909091,0.961480836842,0.967391415476
2016-03-24,23.690001,77.199997,0.910767696909,0.960776521217,0.96719896322
2016-03-28,24.059999,76.199997,0.912263210369,0.96024520201,0.966708292126
2016-03-29,25.42,71.800003,0.898852971846,0.959205476434,0.965693629299
2016-03-30,26.08,70.040001,0.89381933439,0.958075267672,0.964064705564
2016-03-31,25.879999,70.480003,0.897530215449,0.956457812986,0.962714659077
2016-04-01,26.610001,68.480003,0.888051668461,0.955134204537,0.961618179569
