Date,ratio,ma_60,ma_150,signal,signal_50,bs,bs_50
2018-08-07,0.9039584685269305,0.9161668518052479,0.9397550090229407,1,0,,
2018-08-08,0.903559870550162,0.9163327840470946,0.9400789959462014,1,0,,
2018-08-09,0.9092664092664093,0.9160522290891202,0.9404662240246675,1,0,,
2018-08-10,0.9343155310006139,0.9164233513929457,0.9410290322863064,0,0,sell,
2018-08-13,0.9552150854449029,0.917290485959942,0.9416969217370088,0,0,,
2018-08-14,0.9365466748017083,0.9178211775123747,0.9421630988241414,0,0,,
2018-08-15,0.9557260920897285,0.9187110431749675,0.9427763950635096,0,0,,
2018-08-16,0.9417122040072861,0.9192842953555769,0.9433091421452684,0,0,,
2018-08-17,0.9329643296432963,0.9199273800754914,0.9437931262516821,0,0,,
2018-08-20,0.9287925696594428,0.9205248304939079,0.9441011541010016,0,0,,
2018-08-21,0.9301898346601348,0.9209843750094951,0.9443660397370871,0,0,,
2018-08-22,0.928,0.9205368833706992,0.9445769088239958,0,0,,
2018-08-23,0.9250614250614251,0.9205045931008654,0.9448938279699862,0,0,,
2018-08-24,0.9222153080273802,0.9203579345136366,0.9452063505086773,0,0,,
2018-08-27,0.924375,0.9206243867741957,0.9454696983444648,0,0,,
2018-08-28,0.9298461538461538,0.9210439032221275,0.9457539186050784,0,0,,
2018-08-29,0.9228395061728395,0.9213826650713806,0.9459802560536381,0,0,,
2018-08-30,0.9310964649490712,0.9220919225804984,0.9462488938587916,0,0,,
2018-08-31,0.9220937309799149,0.9224850580304127,0.9462045290583025,1,0,buy,
2018-09-04,0.9312839059674503,0.9229206949422281,0.946123855217275,0,0,sell,
2018-09-05,0.9403425871234495,0.9235496470766676,0.9462076667362467,0,0,,
2018-09-06,0.9466975666280416,0.9242898033870938,0.9463470760902868,0,0,,
2018-09-07,0.9496279336004579,0.9249820198093454,0.9461866006028355,0,0,,
2018-09-10,0.9428571428571431,0.9257802085690009,0.9448334825735465,0,0,,
2018-09-11,0.9338942307692307,0.9266188052256122,0.9437087786833482,0,0,,
2018-09-12,0.9341463414634147,0.9274274623947528,0.9428806611558495,0,0,,
2018-09-13,0.9312736443883985,0.9279792798939831,0.9417689431991941,0,0,,
2018-09-14,0.9211538461538461,0.9284105364904941,0.9407428707671683,1,0,buy,
2018-09-17,0.9490683229813663,0.9288504348967728,0.9401678190073338,0,0,sell,
2018-09-18,0.9405878674171356,0.929258971851755,0.9394702460453062,0,0,,
2018-09-19,0.9242902208201893,0.9286813239174225,0.9391039108085799,1,0,buy,
2018-09-20,0.924203821656051,0.9282799617169927,0.9387085685886923,1,0,,
2018-09-21,0.9169811320754717,0.9274411513601941,0.938261201187197,1,0,,
2018-09-24,0.925438596491228,0.9269001197671785,0.9377741052037254,1,0,,
2018-09-25,0.929595015576324,0.9266019567229328,0.9373411504250785,0,0,sell,
2018-09-26,0.9351851851851852,0.9264677309557074,0.9370123574447704,0,0,,
2018-09-27,0.926571250777847,0.9260484531185162,0.9367827628911055,0,0,,
