Date,VXV
15/02/2017,13.41
14/02/2017,13.19
13/02/2017,13.68
10/02/2017,13.91
09/02/2017,14.17
08/02/2017,14.56
07/02/2017,14.35
06/02/2017,14.24
03/02/2017,14.05
02/02/2017,14.59
01/02/2017,14.29
31/01/2017,14.48
30/01/2017,14.41
27/01/2017,13.68
26/01/2017,13.63
25/01/2017,13.61
24/01/2017,13.87
23/01/2017,14.54
20/01/2017,14.49
19/01/2017,15.02
18/01/2017,14.94
17/01/2017,14.89
13/01/2017,14.54
12/01/2017,14.58
11/01/2017,14.47
10/01/2017,14.66
09/01/2017,14.63
06/01/2017,14.56
05/01/2017,14.7
04/01/2017,14.84
03/01/2017,15.56
30/12/2016,16.54
29/12/2016,16.16
28/12/2016,15.93
27/12/2016,15.36
23/12/2016,15.25
22/12/2016,15.29
21/12/2016,15.09
20/12/2016,15.14
19/12/2016,15.31
16/12/2016,15.57
15/12/2016,15.75
14/12/2016,15.87
13/12/2016,15.7
12/12/2016,15.73
09/12/2016,15.22
08/12/2016,15.72
07/12/2016,15.48
06/12/2016,15.48
05/12/2016,15.77
02/12/2016,16.78
01/12/2016,16.67
30/11/2016,16.1
29/11/2016,15.9
28/11/2016,16.02
25/11/2016,15.51
23/11/2016,15.43
22/11/2016,15.35
21/11/2016,15.32
18/11/2016,15.52
17/11/2016,15.64
16/11/2016,16.07
15/11/2016,15.75
14/11/2016,16.7
11/11/2016,16.49
10/11/2016,16.75
09/11/2016,16.28
08/11/2016,18.1
07/11/2016,18.15
04/11/2016,21.13
03/11/2016,20.7
02/11/2016,19.18
01/11/2016,18.74
31/10/2016,17.85
28/10/2016,17.37
27/10/2016,16.93
26/10/2016,16.25
25/10/2016,15.81
24/10/2016,15.61
21/10/2016,16.04
20/10/2016,16.23
19/10/2016,16.46
18/10/2016,16.92
17/10/2016,17.47
14/10/2016,17.42
13/10/2016,17.59
12/10/2016,17.02
11/10/2016,16.94
10/10/2016,15.95
07/10/2016,16.44
06/10/2016,16.07
05/10/2016,16.22
04/10/2016,16.47
03/10/2016,16.4
30/09/2016,16.37
29/09/2016,16.87
28/09/2016,16.01
27/09/2016,16.45
26/09/2016,17.28
23/09/2016,16.05
22/09/2016,15.94
21/09/2016,16.66
20/09/2016,17.99
19/09/2016,17.78
16/09/2016,17.88
15/09/2016,18.19
14/09/2016,19.35
13/09/2016,19.05
12/09/2016,17.27
09/09/2016,18.83
08/09/2016,15.81
07/09/2016,15.49
06/09/2016,15.56
02/09/2016,15.65
01/09/2016,16.31
31/08/2016,16.14
30/08/2016,16.03
29/08/2016,15.93
26/08/2016,16.24
25/08/2016,16.13
24/08/2016,16
23/08/2016,15.42
22/08/2016,15.5
19/08/2016,15.13
18/08/2016,15.16
17/08/2016,15.52
16/08/2016,16.02
15/08/2016,15.38
12/08/2016,15.26
11/08/2016,15.3
10/08/2016,15.41
09/08/2016,15.11
08/08/2016,15.16
05/08/2016,15.14
04/08/2016,15.71
03/08/2016,16.08
02/08/2016,16.39
01/08/2016,15.7
29/07/2016,15.42
28/07/2016,16
27/07/2016,16.1
26/07/2016,16.32
25/07/2016,16.27
22/07/2016,15.8
21/07/2016,16.1
20/07/2016,15.44
19/07/2016,15.74
18/07/2016,15.77
15/07/2016,15.99
14/07/2016,15.86
13/07/2016,15.97
12/07/2016,16.17
11/07/2016,16.49
08/07/2016,16.49
07/07/2016,17.76
06/07/2016,17.74
05/07/2016,18.24
01/07/2016,17.65
30/06/2016,18.09
29/06/2016,18.73
28/06/2016,20.26
27/06/2016,23.68
24/06/2016,23.93
23/06/2016,18.42
22/06/2016,21.08
21/06/2016,19.69
20/06/2016,19.81
17/06/2016,21.31
16/06/2016,21.16
15/06/2016,21.81
14/06/2016,21.94
13/06/2016,21.87
10/06/2016,18.94
09/06/2016,17.32
08/06/2016,16.79
07/06/2016,16.63
06/06/2016,16.44
03/06/2016,16.49
02/06/2016,16.37
01/06/2016,16.7
31/05/2016,16.63
27/05/2016,16.31
26/05/2016,16.56
25/05/2016,16.77
24/05/2016,17.08
23/05/2016,18.15
20/05/2016,18.05
19/05/2016,18.77
18/05/2016,18.54
17/05/2016,18.43
16/05/2016,17.7
13/05/2016,18.25
12/05/2016,17.75
11/05/2016,18.02
10/05/2016,17.18
09/05/2016,18.05
06/05/2016,18.27
05/05/2016,18.92
04/05/2016,18.91
03/05/2016,18.57
02/05/2016,17.78
29/04/2016,18.45
28/04/2016,17.78
27/04/2016,16.77
26/04/2016,16.92
25/04/2016,17.22
22/04/2016,16.64
21/04/2016,17.14
20/04/2016,16.6
19/04/2016,16.47
18/04/2016,16.51
15/04/2016,17.16
14/04/2016,17.24
13/04/2016,17.26
12/04/2016,17.97
11/04/2016,18.89
08/04/2016,18.32
07/04/2016,18.86
06/04/2016,17.28
05/04/2016,18.38
04/04/2016,17.23
01/04/2016,16.5
31/03/2016,17.08
30/03/2016,16.92
29/03/2016,17.24
28/03/2016,18.3
24/03/2016,18.27
23/03/2016,18.3
22/03/2016,17.75
21/03/2016,17.59
18/03/2016,17.93
17/03/2016,18.14
16/03/2016,18.48
15/03/2016,19.33
14/03/2016,19.42
11/03/2016,19.47
10/03/2016,20.71
09/03/2016,20.75
08/03/2016,21.04
07/03/2016,19.9
04/03/2016,19.63
03/03/2016,19.49
02/03/2016,19.92
01/03/2016,20.28
29/02/2016,22.39
26/02/2016,21.86
25/02/2016,21.24
24/02/2016,22.34
23/02/2016,22.44
22/02/2016,21.62
19/02/2016,22.8
18/02/2016,23.2
17/02/2016,23.55
16/02/2016,25.01
12/02/2016,26.23
11/02/2016,27.72
10/02/2016,26.72
09/02/2016,26.8
08/02/2016,25.98
05/02/2016,24.48
04/02/2016,23.66
03/02/2016,23.2
02/02/2016,23.41
01/02/2016,22.01
29/01/2016,22.66
28/01/2016,24.02
27/01/2016,24.47
26/01/2016,23.29
25/01/2016,25.25
22/01/2016,24.28
21/01/2016,26.71
20/01/2016,27.81
19/01/2016,26.44
15/01/2016,26.88
14/01/2016,23.53
13/01/2016,24.89
12/01/2016,22.53
11/01/2016,24.73
08/01/2016,26.23
07/01/2016,24.62
06/01/2016,21.27
05/01/2016,20.52
04/01/2016,22.01
31/12/2015,19.8
30/12/2015,19.59
29/12/2015,19.1
28/12/2015,19.68
24/12/2015,19.69
23/12/2015,19.33
22/12/2015,19.84
21/12/2015,21.11
18/12/2015,21.26
17/12/2015,20.37
16/12/2015,19.57
15/12/2015,21.86
14/12/2015,23.3
11/12/2015,24.38
10/12/2015,20.76
09/12/2015,21.05
08/12/2015,20.06
07/12/2015,18.65
04/12/2015,18.17
03/12/2015,20.11
02/12/2015,18.33
01/12/2015,17.58
30/11/2015,18.49
27/11/2015,17.35
25/11/2015,18.19
24/11/2015,18.71
23/11/2015,18.63
20/11/2015,18.94
19/11/2015,19.64
18/11/2015,19.22
17/11/2015,20.43
16/11/2015,19.98
13/11/2015,21.58
12/11/2015,20.17
11/11/2015,18.45
10/11/2015,18.02
09/11/2015,18.85
06/11/2015,17.45
05/11/2015,17.81
04/11/2015,18.31
03/11/2015,17.47
02/11/2015,17.42
30/10/2015,18.4
29/10/2015,17.81
28/10/2015,17.49
27/10/2015,18.14
26/10/2015,17.99
23/10/2015,17.48
22/10/2015,17.16
21/10/2015,19.46
20/10/2015,18.6
19/10/2015,17.86
16/10/2015,18.67
15/10/2015,19.43
14/10/2015,20.81
13/10/2015,20.5
12/10/2015,19.26
09/10/2015,19.85
08/10/2015,20.09
07/10/2015,20.71
06/10/2015,21.59
05/10/2015,21.33
02/10/2015,22.6
01/10/2015,23.83
30/09/2015,24.75
29/09/2015,26
28/09/2015,26.38
25/09/2015,24.4
24/09/2015,23.46
23/09/2015,22.88
22/09/2015,23.28
21/09/2015,21.59
18/09/2015,23.2
17/09/2015,21.14
16/09/2015,22.33
15/09/2015,23.12
14/09/2015,23.7
11/09/2015,24.68
10/09/2015,25.65
09/09/2015,26.31
08/09/2015,25.69
04/09/2015,28.07
03/09/2015,26.2
02/09/2015,26.19
01/09/2015,29.53
31/08/2015,26.53
28/08/2015,25.34
27/08/2015,24.86
26/08/2015,25.65
25/08/2015,29.58
24/08/2015,31.14
21/08/2015,23.47
20/08/2015,18.83
19/08/2015,16.5
18/08/2015,15.61
17/08/2015,15.21
14/08/2015,15.51
13/08/2015,15.75
12/08/2015,15.87
11/08/2015,15.94
10/08/2015,14.99
07/08/2015,15.42
06/08/2015,15.55
05/08/2015,14.88
04/08/2015,15.13
03/08/2015,14.84
31/07/2015,14.9
30/07/2015,14.71
29/07/2015,14.92
28/07/2015,15.43
27/07/2015,16.78
24/07/2015,15.65
23/07/2015,14.92
22/07/2015,14.81
21/07/2015,14.75
20/07/2015,14.85
17/07/2015,14.61
16/07/2015,14.73
15/07/2015,15.6
14/07/2015,15.46
13/07/2015,15.94
10/07/2015,17.73
09/07/2015,19.78
08/07/2015,19.25
07/07/2015,17.02
06/07/2015,18.04
02/07/2015,17.68
01/07/2015,16.79
30/06/2015,18.47
29/06/2015,18.72
26/06/2015,15.46
25/06/2015,15.52
24/06/2015,15.18
23/06/2015,14.54
22/06/2015,14.99
19/06/2015,15.91
18/06/2015,15.44
17/06/2015,16.22
16/06/2015,16.2
15/06/2015,16.62
12/06/2015,15.61
11/06/2015,15.1
10/06/2015,15.33
09/06/2015,16.25
08/06/2015,16.6
05/06/2015,15.96
04/06/2015,16.28
03/06/2015,15.36
02/06/2015,15.71
01/06/2015,15.41
29/05/2015,15.38
