Date,Adj Close
12/05/2017,79.849998
15/05/2017,81.510002
16/05/2017,82.400002
17/05/2017,67.709999
18/05/2017,69.239998
19/05/2017,73.669998
22/05/2017,76.900002
23/05/2017,77
24/05/2017,78.949997
25/05/2017,78.160004
26/05/2017,79.540001
30/05/2017,80
31/05/2017,79.309998
01/06/2017,81.330002
02/06/2017,81.050003
05/06/2017,80.699997
06/06/2017,78.940002
07/06/2017,79.739998
08/06/2017,81.519997
09/06/2017,80.360001
12/06/2017,79.440002
13/06/2017,82.25
14/06/2017,82.610001
15/06/2017,81.629997
16/06/2017,82.43
19/06/2017,84.889999
20/06/2017,82.709999
21/06/2017,83.459999
22/06/2017,84.309998
23/06/2017,85.199997
26/06/2017,87.029999
27/06/2017,84.089996
28/06/2017,86.470001
29/06/2017,82.169998
30/06/2017,83.459999
03/07/2017,82.300003
05/07/2017,82.400002
06/07/2017,78.290001
07/07/2017,80.910004
10/07/2017,82.900002
11/07/2017,83.330002
12/07/2017,85.620003
13/07/2017,86.559998
14/07/2017,88.190002
17/07/2017,90.519997
18/07/2017,91.540001
19/07/2017,92.620003
20/07/2017,93.470001
21/07/2017,94.25
24/07/2017,95.940002
25/07/2017,95.540001
26/07/2017,95.379997
27/07/2017,94.739998
28/07/2017,93.620003
31/07/2017,94.370003
01/08/2017,95.589996
02/08/2017,95.089996
03/08/2017,93.82
04/08/2017,94.290001
07/08/2017,95.349998
08/08/2017,92.75
09/08/2017,90.339996
10/08/2017,78.18
11/08/2017,74.580002
14/08/2017,84
15/08/2017,84.559998
16/08/2017,84.959999
17/08/2017,71.5
18/08/2017,73.889999
21/08/2017,77.099998
22/08/2017,82.370003
23/08/2017,81.690002
24/08/2017,79.040001
25/08/2017,81.32
28/08/2017,82.019997
29/08/2017,81.290001
30/08/2017,81.650002
31/08/2017,83.68
01/09/2017,83.720001
05/09/2017,79.589996
06/09/2017,81.449997
07/09/2017,81.790001
08/09/2017,79.699997
11/09/2017,84.309998
12/09/2017,86.480003
13/09/2017,89.309998
14/09/2017,87.919998
15/09/2017,89.610001
18/09/2017,93.389999
19/09/2017,93.589996
20/09/2017,93.360001
21/09/2017,93.370003
22/09/2017,92.830002
25/09/2017,92.690002
26/09/2017,93.800003
27/09/2017,94.389999
28/09/2017,95.769997
29/09/2017,97.540001
02/10/2017,99.540001
03/10/2017,99.800003
04/10/2017,99.599998
05/10/2017,102.730003
06/10/2017,102.760002
09/10/2017,100.800003
10/10/2017,103.050003
11/10/2017,105.080002
12/10/2017,105.870003
13/10/2017,107.839996
16/10/2017,109.68
17/10/2017,109.529999
18/10/2017,109.919998
19/10/2017,110.809998
20/10/2017,112.68
23/10/2017,109.199997
24/10/2017,107.860001
25/10/2017,104.349998
26/10/2017,104.68
27/10/2017,110.660004
30/10/2017,109.800003
31/10/2017,111.800003
01/11/2017,111.110001
02/11/2017,112.300003
03/11/2017,112.470001
06/11/2017,113.620003
07/11/2017,113.059998
08/11/2017,112.809998
09/11/2017,111.389999
10/11/2017,108.830002
13/11/2017,108.559998
14/11/2017,107.690002
15/11/2017,103.5
16/11/2017,107.910004
17/11/2017,109.699997
20/11/2017,113.089996
21/11/2017,117.300003
22/11/2017,118.419998
24/11/2017,118.790001
27/11/2017,119.169998
28/11/2017,120.779999
29/11/2017,118.099998
30/11/2017,117.879997
01/12/2017,115
04/12/2017,119
05/12/2017,123
