Date,Open,High,Low,Close,Adj Close,Volume
25/05/2015,8.7825,8.855,8.77,8.77,8.77,900
26/05/2015,8.69,8.725,8.37,8.465,8.465,105900
27/05/2015,8.55,8.8175,8.48,8.775,8.775,37800
28/05/2015,8.6725,8.695,8.565,8.675,8.675,29900
29/05/2015,8.65,8.74,8.5,8.6125,8.6125,18900
01/06/2015,8.735,8.7825,8.5875,8.7,8.7,180400
02/06/2015,8.75,8.75,8.5225,8.5725,8.5725,54000
03/06/2015,8.64,8.7025,8.6125,8.7025,8.7025,144800
04/06/2015,8.5825,8.6275,8.37,8.415,8.415,55200
05/06/2015,8.385,8.5575,8.3325,8.54,8.54,24400
08/06/2015,8.465,8.505,8.325,8.36,8.36,47200
09/06/2015,8.3625,8.4925,8.2725,8.4625,8.4625,156000
10/06/2015,8.5975,8.85,8.5975,8.8275,8.8275,22900
11/06/2015,8.9525,9.06,8.9175,9.0175,9.0175,27900
12/06/2015,8.8975,8.9175,8.7425,8.895,8.895,36200
15/06/2015,8.695,8.71,8.5075,8.525,8.525,36900
16/06/2015,8.405,8.7025,8.4,8.6575,8.6575,27500
17/06/2015,8.6975,8.78,8.5025,8.6925,8.6925,36600
18/06/2015,8.745,9.03,8.745,8.93,8.93,38800
19/06/2015,8.95,8.95,8.82,8.8775,8.8775,13400
22/06/2015,9.0325,9.2425,9.0325,9.23,9.23,30500
23/06/2015,9.2525,9.47,9.2525,9.47,9.47,13100
24/06/2015,9.3975,9.5325,9.28,9.28,9.28,19300
25/06/2015,9.3625,9.4175,9.1625,9.2,9.2,19000
26/06/2015,9.23,9.275,9.0775,9.245,9.245,37000
29/06/2015,8.75,8.805,7.5925,7.675,7.675,188000
30/06/2015,8.065,8.065,7.37,7.73,7.73,126000
02/07/2015,7.94,8.2075,7.5675,7.73,7.73,51700
03/07/2015,7.6575,7.7525,7.6575,7.69,7.69,1200
06/07/2015,7.3575,7.6925,7.265,7.5075,7.5075,76100
07/07/2015,7.5,7.9125,7.125,7.9,7.9,139900
08/07/2015,7.5875,7.65,7.025,7.115,7.115,168600
09/07/2015,7.515,7.52,7.0175,7.05,7.05,121200
10/07/2015,7.3875,7.5975,7.2125,7.555,7.555,140500
13/07/2015,7.965,8.35,7.945,8.3375,8.3375,108400
14/07/2015,8.27,8.5475,8.27,8.37,8.37,42900
15/07/2015,8.375,8.51,8.235,8.3925,8.3925,47400
