,,,,bench,,,strat
2011-03-14,0.137260695,,2012-03-26,0.496352274,,2012-03-26,0.737107767
2011-03-15,0.126060347,,2012-03-27,0.486525252,,2012-03-27,0.724463969
2011-03-16,0.106565398,,2012-03-28,0.497554722,,2012-03-28,0.73055193
2011-03-17,0.119963627,,2012-03-29,0.522949819,,2012-03-29,0.754339097
2011-03-18,0.124273828,,2012-03-30,0.520066628,,2012-03-30,0.755154342
2011-03-21,0.139259675,,2012-04-02,0.494844846,,2012-04-02,0.737437206
2011-03-22,0.135709108,,2012-04-03,0.47530285,,2012-04-03,0.713906574
2011-03-23,0.138623087,,2012-04-04,0.462681596,,2012-04-04,0.691082795
2011-03-24,0.147963836,,2012-04-05,0.402474136,,2012-04-05,0.630246293
2011-03-25,0.151124973,,2012-04-09,0.373231071,,2012-04-09,0.589644789
2011-03-28,0.148377136,,2012-04-10,0.402248864,,2012-04-10,0.601581129
2011-03-29,0.155437181,,2012-04-11,0.437514135,,2012-04-11,0.644295296
2011-03-30,0.162121888,,2012-04-12,0.392425829,,2012-04-12,0.612986377
2011-03-31,0.160292386,,2012-04-13,0.420544632,,2012-04-13,0.62863018
2011-04-01,0.165255374,,2012-04-16,0.448299418,,2012-04-16,0.655881365
2011-04-04,0.165600584,,2012-04-17,0.423643194,,2012-04-17,0.646711814
2011-04-05,0.165420529,,2012-04-18,0.423915233,,2012-04-18,0.642928565
2011-04-06,0.167604206,,2012-04-19,0.446383867,,2012-04-19,0.659462802
2011-04-07,0.1660842,,2012-04-20,0.428489503,,2012-04-20,0.642737703
2011-04-08,0.162079756,,2012-04-23,0.459278245,,2012-04-23,0.665118875
2011-04-11,0.159286377,,2012-04-24,0.486855524,,2012-04-24,0.696375928
2011-04-12,0.151509677,,2012-04-25,0.506983235,,2012-04-25,0.73014823
2011-04-13,0.151699913,,2012-04-26,0.502563188,,2012-04-26,0.73240835
2011-04-14,0.15178359,,2012-04-27,0.47770114,,2012-04-27,0.709960625
2011-04-15,0.155709003,,2012-04-30,0.511258543,,2012-04-30,0.739634527
2011-04-18,0.144691151,,2012-05-01,0.501934172,,2012-05-01,0.735968539
2011-04-19,0.150422322,,2012-05-02,0.48319573,,2012-05-02,0.714733414
2011-04-20,0.163937269,,2012-05-03,0.446100383,,2012-05-03,0.669979195
2011-04-21,0.169214051,,2012-05-04,0.476291919,,2012-05-04,0.684023523
2011-04-25,0.167621381,,2012-05-07,0.471721472,,2012-05-07,0.679803657
2011-04-26,0.176600966,,2012-05-08,0.456223985,,2012-05-08,0.660027497
2011-04-27,0.182850813,,2012-05-09,0.478556448,,2012-05-09,0.675657693
2011-04-28,0.186406237,,2012-05-10,0.468071345,,2012-05-10,0.66769
2011-04-29,0.188706899,,2012-05-11,0.442412586,,2012-05-11,0.638643901
2011-05-02,0.186954188,,2012-05-14,0.45352545,,2012-05-14,0.638643901
